gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
CP,ceruloplasmin,223,"['40215965', '40178976', '40158217', '40155065', '40048432', '39836501', '39810592', '39712312', '39673708', '39368762', '39313158', '39289592', '39231425', '39111545', '39103488', '39007420', '38990012', '38850536', '38761990', '38753484', '38738953', '38735268', '38492219', '38451817', '38442017', '38399959', '38182719', '38058128', '38006800', '37861450', '37832824', '37703880', '37643085', '37633425', '37398680', '37268038', '37218583', '37202763', '37100456', '37083332', '37069793', '36920907', '36907884', '36867536', '36724074', '36703970', '36052065', '36036505', '35918604', '35743963', '35705057', '35632669', '35526110', '35476994', '35443186', '34824020', '34793891', '34399381', '34192531', '33735746', '33706010', '33616076', '33444757', '33385977', '33336874', '33164081', '32967900', '32821285', '32755654', '32580136', '32129161', '32093984', '32046541', '31743377', '31666362', '31568522', '31556352', '31519476', '31002313', '30673031', '30641545', '30581848', '30552905', '30404799', '30340979', '29931819', '29428154', '29096992', '28592230', '28422567', '28374097', '28167245', '28102514', '28013264', '27936346', '27622599', '27615506', '27650184', '27005460', '26551684', '25727549', '25488885', '25245803', '25225963', '24814500', '24728724', '24656148', '23992647', '23990886', '23932607', '23726546', '23622838', '23560938', '23425763', '23328927', '23289738', '23253318', '22815495', '22726324', '22521847', '21940118', '21913408', '21768312', '21764631', '21610430', '21134558', '20846808', '20739753', '20419803', '20237308', '19554011', '19238441', '19202625', '19157341', '19134190', '19054296', '18987483', '18807378', '18613793', '18473790', '18472434', '18472197', '18392771', '18327977', '18298602', '17944830', '17688883', '17371999', '16327122', '16260577', '16187545', '15936891', '15905727', '15836826', '15661924', '14766858', '14725962', '12931030', '12626281', '12556994', '12439940', '12375578', '12218356', '12173401', '12130989', '11881352', '11791097', '11598052', '11595229', '11448036', '11193354', '11158946', '10884864', '10875520', '10846900', '10841095', '10816349', '10570305', '9826027', '9808071', '9692161', '9646556', '9459117', '9333176', '9317029', '9289984', '9020273', '10771818', '8888729', '8894578', '8856119', '8654538', '8613375', '8578683', '7656071', '7706904', '7697910', '7983415', '8237210', '8499420', '1488535', '1303685', '1402101', '1462875', '1448356', '1752676', '1995726', '2187037', '2477881', '2674875', '3188820', '3202966', '3680994', '3805763', '3943329', '3899358', '6441780', '6729837', '6320764', '6827643', '453786', '4881285', '14256124']",CP,CP,1356,ceruloplasmin
FCMR,fc mu receptor,0,[],FAIM3,FCMR,9214,Fc mu receptor
CDKN1A,cyclin dependent kinase inhibitor 1a,7,"['39444093', '38212812', '37968923', '35266915', '30146810', '30086151', '27696085']",CDKN1A,CDKN1A,1026,cyclin dependent kinase inhibitor 1A
WAS,wasp actin nucleation promoting factor,5,"['40017220', '39090138', '37218050', '8765621', '2206845']",WAS,WAS,7454,WASP actin nucleation promoting factor
VIM,vimentin,108,"['40529307', '40346417', '40184094', '39972351', '39898665', '39672467', '39658728', '39297392', '39233217', '38804143', '38735628', '38456690', '38452175', '38350841', '38297956', '38230939', '38197977', '37642647', '37457958', '37069793', '37013147', '35975598', '35580283', '35568360', '35019772', '34882052', '34644604', '34619390', '34553619', '34371076', '34236261', '34197935', '33980648', '33575163', '33444757', '33048962', '33038895', '32780248', '32433214', '32427286', '32383446', '32171571', '32014058', '31794773', '31773363', '31751768', '31636898', '31426735', '31376095', '31296179', '31287495', '31236593', '31002313', '30952998', '30826996', '30196610', '29654892', '29621591', '29551362', '28735318', '28670975', '28122677', '28102514', '28034598', '27836381', '27585707', '27566313', '27525401', '27469416', '27296461', '27147419', '26956613', '26824702', '26747061', '26573617', '26410172', '26201513', '25701636', '25643858', '25473196', '25343711', '25261066', '24478405', '24176052', '23889766', '23763841', '23354281', '21491175', '20973725', '20864922', '20360397', '20106862', '20086165', '19776233', '19624511', '19223638', '19040472', '18819980', '18269335', '18065411', '17996417', '17452479', '17229554', '16584307', '16431857', '15761066', '15649310', '11452499']",VIM,VIM,7431,vimentin
TRIM14,tripartite motif containing 14,0,[],TRIM14,TRIM14,9830,tripartite motif containing 14
MMP9,matrix metallopeptidase 9,162,"['40557053', '40496854', '40403502', '40341670', '40222537', '40220405', '40184094', '40111530', '39922147', '39755185', '39747465', '39693733', '39566813', '39560539', '39294340', '39199368', '38888497', '38852219', '38824977', '38588614', '38484574', '38447501', '38029239', '38025678', '37901228', '37697947', '37622890', '37556997', '37443327', '37343733', '37060578', '36939682', '36526272', '36232913', '36232563', '35818227', '35777356', '35369768', '35272594', '35205254', '35204780', '35190763', '35184762', '35151055', '35032827', '34612516', '34327242', '34309413', '34267240', '34265829', '33820675', '33628393', '33593148', '33488296', '33460751', '33290154', '33100122', '32679538', '32645949', '32575108', '31817302', '31552201', '31531373', '31292051', '30894090', '30775441', '30736813', '30683539', '30571701', '30246366', '29930006', '29861795', '29809052', '29734352', '29257295', '29251000', '28931365', '28902848', '28852269', '28797776', '28775117', '28689803', '28661460', '28394608', '28192449', '27841846', '27089280', '26892347', '26471500', '26449522', '26399271', '26111477', '26063970', '25659903', '25531650', '25407832', '25291964', '25046439', '24913772', '24833564', '24761983', '24727739', '24451364', '25762310', '23802100', '23706069', '23617547', '23479197', '23475790', '23438126', '23335284', '22534112', '22266975', '22088821', '21977228', '21833585', '21742038', '21722967', '21530151', '21439766', '20356362', '20195952', '20017890', '19837953', '19799791', '19703997', '19578961', '19112282', '18929380', '18632868', '18466195', '18444803', '17017880', '17008230', '16895500', '16880766', '16614966', '16517742', '16456445', '16438938', '16344067', '16308106', '16205320', '16135959', '16003065', '15711801', '15648982', '15287165', '15255968', '15187516', '14575305', '12923502', '12850461', '12694137', '12581831', '12209628', '11813508', '11529928', '11418326', '10508828', '10030844', '9856688']",MMP9,MMP9,4318,matrix metallopeptidase 9
KCNQ1OT1,kcnq1 opposite strand antisense transcript 1,4,"['37326687', '34783627', '34761437', '32102564']",KCNQ1OT1,KCNQ1OT1,10984,KCNQ1 opposite strand/antisense transcript 1
SERAC1,serine active site containing 1,0,[],SERAC1,SERAC1,84947,serine active site containing 1
HSPA1B,hsp70 heat shock proteins,0,[],HSPA1B,HSPA1B,3304,heat shock protein family A (Hsp70) member 1B
MRTFA,myocardin related transcription factor a,1,['33011963'],MRTFA,MRTFA,57591,myocardin related transcription factor A
F2RL1,f2r like trypsin receptor 1,1,['27050058'],F2RL1,F2RL1,2150,F2R like trypsin receptor 1
FABP3,fatty acid binding protein 3,0,[],FABP3,FABP3,2170,fatty acid binding protein 3
RELB,RELB,13,"['38039751', '37925405', '36633909', '32793229', '32738283', '31681271', '25880845', '25404738', '21562054', '21245135', '21078560', '19901031', '19158276']",RELB,RELB,5971,"RELB proto-oncogene, NF-kB subunit"
FCGR2B,fc gamma receptor iib,11,"['38781871', '37575046', '33573095', '32927460', '32582149', '31514375', '29393221', '28849025', '28341671', '27849678', '19355789']",FCGR2B,FCGR2B,2213,Fc gamma receptor IIb
FCGR3A,fc gamma receptor iiia,3,"['35670552', '28239647', '18452102']",FCGR3A,FCGR3A,2214,Fc gamma receptor IIIa
MIR27A,microrna 27a,12,"['35337261', '34239033', '32738556', '32546573', '32237949', '32214905', '31941655', '29156532', '26683209', '26171875', '26147972', '25043848']",MIR27A,MIR27A,407018,microRNA 27a
IDO2,indoleamine 2 3 dioxygenase 2,4,"['35466350', '33870913', '30374077', '21192279']",INDO,IDO2,169355,"indoleamine 2,3-dioxygenase 2"
AIM2,absent in melanoma 2,36,"['40453984', '40350654', '40348119', '40007380', '39614280', '39311631', '38981197', '38977331', '38843643', '37931457', '37814861', '37587065', '37400760', '37385448', '36651241', '36618365', '35264781', '34099337', '34072918', '33721834', '33352229', '33017103', '32934605', '32431703', '32350042', '32325405', '32062071', '31170267', '30946496', '29193282', '28347828', '27779186', '24380723', '22966040', '22945351', '17700033']",AIM2,AIM2,9447,absent in melanoma 2
PDE1C,phosphodiesterase 1c,0,[],PDE1C,PDE1C,5137,phosphodiesterase 1C
MAP2K1,mitogen activated protein kinase kinase 1,5,"['38006800', '23684565', '23189948', '22393041', '21354320']",MAP2K1,MAP2K1,5604,mitogen-activated protein kinase kinase 1
ATF4,activating transcription factor 4,30,"['40524162', '40415359', '40384854', '40248709', '40116632', '40015206', '39099357', '38725041', '37481013', '37183023', '36700778', '36469355', '36224681', '35926799', '35859520', '35811055', '34794887', '34741186', '34482365', '34183381', '32277979', '31894250', '30581532', '30013453', '29490098', '29488473', '28549777', '28100477', '26173605', '24248597']",ATF4,ATF4,468,activating transcription factor 4
GABRA1,gamma aminobutyric acid,0,[],GABRA1,GABRA1,2554,gamma-aminobutyric acid type A receptor subunit alpha1
SMARCD2,swi snf,0,[],SMARCD2,SMARCD2,6603,SWI/SNF related BAF chromatin remodeling complex subunit D2
LGALS3,galectin 3,21,"['39823512', '38541160', '37979076', '37610926', '35640376', '35163089', '34984927', '33736691', '32535113', '30226191', '29853535', '29164071', '26410432', '25850080', '25805753', '23828453', '23527230', '23010503', '22827322', '22486577', '18684969']",LGALS3,LGALS3,3958,galectin 3
SIRT1,sirtuin 1,190,"['40417877', '40329161', '40293549', '40263316', '40147866', '40106902', '39929631', '39913960', '39827668', '39732105', '39702605', '39697018', '39617088', '39586748', '39536486', '39455916', '39262326', '39238408', '39067401', '38970263', '38966875', '38942784', '38920138', '38888497', '38775002', '38759522', '38754781', '38717633', '38678672', '38563049', '38526770', '38474770', '38445453', '38100537', '38097099', '38054576', '38018317', '38001490', '37859612', '37840012', '37695728', '37597402', '37592376', '37475042', '37436358', '37385588', '37366125', '37355223', '37327514', '37314209', '37231890', '37211747', '37201414', '37013347', '36944380', '36916335', '36861192', '36817458', '36693551', '36608000', '36576230', '36565415', '36350269', '36279970', '36219938', '36001204', '35985610', '35923893', '35857031', '35811055', '35789410', '35644425', '35447391', '34806822', '34801532', '34743197', '34641966', '34592882', '34559876', '34493741', '34363018', '34340571', '34335587', '34248837', '34187277', '34112288', '34010066', '33968038', '33891698', '33790896', '33637691', '33577060', '33452667', '33263643', '33207945', '33058411', '32903604', '32771944', '32673294', '32538180', '32473249', '32428599', '32360364', '32231180', '32163831', '32131850', '32037554', '32034118', '31995750', '31991227', '31894250', '31869757', '31811786', '31681271', '31393272', '31383361', '31282985', '31234024', '30980521', '30966773', '30948926', '30918470', '30868609', '30770245', '30707864', '30562237', '30528733', '30500551', '30496780', '30379096', '30336174', '30216989', '30069485', '30014231', '29920283', '29867921', '29859833', '29803807', '29680657', '29593712', '29351405', '29333216', '29277325', '29226969', '29078895', '28993270', '28952835', '28931916', '28610995', '28550734', '28503576', '28370493', '28368517', '28003866', '27878240', '27837177', '27779675', '27711079', '27576340', '27500833', '27498121', '27318341', '27052214', '26974318', '26904696', '26704614', '26681113', '26675956', '26566260', '26522327', '26299770', '26200012', '26094939', '26045547', '25959124', '25659903', '25517228', '25404738', '25088223', '25051385', '25004063', '25001863', '24573134', '24487387', '24386389', '23625030', '23499872', '22700961', '21871000', '21245135']",SIRT1,SIRT1,23411,sirtuin 1
IL4R,interleukin 4 receptor,4,"['37033939', '36860871', '33368247', '30193587']",IL4R,IL4R,3566,interleukin 4 receptor
DPEP1,dipeptidase 1,1,['31442408'],DPEP1,DPEP1,1800,dipeptidase 1
HLA-DRB3,histocompatibility antigens class ii,1,['22701553'],HLA-DRB3,HLA-DRB3,3125,"major histocompatibility complex, class II, DR beta 3"
MAP3K8,mitogen activated protein kinase kinase kinase 8,2,"['31059023', '28727728']",MAP3K8,MAP3K8,1326,mitogen-activated protein kinase kinase kinase 8
SDR9C7,short chain dehydrogenase reductase family 9c member 7,0,[],SDR9C7,SDR9C7,121214,short chain dehydrogenase/reductase family 9C member 7
CD8A,CD8,10,"['39654893', '38348045', '37984615', '37575977', '34620235', '33667236', '31432183', '26871709', '25557485', '24910415']",CD8A,CD8A,925,CD8 subunit alpha
BTLA,b and t lymphocyte associated,25,"['37716165', '35944174', '35918604', '34163466', '33773156', '33613563', '33579182', '32996833', '32148245', '31594403', '30134817', '29752615', '29135922', '28056053', '27056672', '26674453', '26329820', '26151223', '24485901', '24321139', '24289156', '23479601', '22623771', '22459947', '21998455']",BTLA,BTLA,151888,B and T lymphocyte associated
MX1,mx dynamin like gtpase 1,24,"['38877168', '38316233', '37433357', '37141957', '36632914', '35301114', '31963363', '31465870', '30468892', '29932987', '28329286', '27263115', '27214236', '27066706', '26711047', '26554913', '26472464', '22398916', '21722999', '19955313', '17928055', '17157032', '15475310', '15063762']",MX1,MX1,4599,MX dynamin like GTPase 1
NOD2,nucleotide binding oligomerization domain containing 2,42,"['40335000', '39614280', '38546380', '37839766', '36169246', '35993451', '34748820', '33406504', '32507857', '32432055', '30660782', '30013237', '28768269', '28434881', '26556047', '25988661', '25825396', '25084278', '24530556', '24345423', '24107312', '24086711', '23675299', '22509418', '21460759', '21396483', '20833375', '20696824', '20580721', '20005985', '19897531', '19721713', '19473975', '19058231', '19050632', '18250466', '17558494', '16850005', '16790750', '16080653', '15016407', '14739370']",NOD2,NOD2,64127,nucleotide binding oligomerization domain containing 2
PDE6H,phosphodiesterase 6h,0,[],PDE6H,PDE6H,5149,phosphodiesterase 6H
TCF3,transcription factor 3,13,"['40044061', '39591838', '38395749', '35391558', '32829604', '29484406', '28004841', '27239104', '25752455', '24973221', '24862492', '22179317', '18171284']",TCF3,TCF3,6929,transcription factor 3
RHOA,ras homolog family member a,40,"['39236286', '38767134', '37806106', '37748665', '37244125', '37028276', '36567581', '35634305', '35244189', '35051420', '34528082', '34497151', '34440613', '33709787', '33011963', '32570032', '31835087', '31432099', '31093964', '29795446', '29635128', '29620575', '28739448', '28329735', '28154894', '27744119', '27738004', '26694894', '26602979', '26342084', '26200183', '25700221', '25243430', '24690572', '23566535', '23457552', '22608565', '20479081', '19679840', '19325475']",RHOA,RHOA,387,ras homolog family member A
REG1A,regenerating family member 1 alpha,0,[],REG1A,REG1A,5967,regenerating family member 1 alpha
GABRA5,gamma aminobutyric acid,0,[],GABRA5,GABRA5,2558,gamma-aminobutyric acid type A receptor subunit alpha5
XBP1,x box binding protein 1,11,"['39346059', '36088483', '35859520', '35017615', '34794887', '32277979', '31830624', '31601454', '29924419', '28743992', '18509246']",XBP1,XBP1,7494,X-box binding protein 1
LIPN,lipase family member n,0,[],LIPN,LIPN,643418,lipase family member N
SEMA4D,semaphorin 4d,0,[],SEMA4D,SEMA4D,10507,semaphorin 4D
SOD1,superoxide dismutase 1,15,"['37146706', '35312688', '33982381', '32200709', '30593499', '29906560', '25446843', '23385038', '23063716', '22777123', '21145306', '20386593', '18854975', '18604212', '18317403']",SOD1,SOD1,6647,superoxide dismutase 1
SLAMF1,signaling lymphocytic activation molecule family member 1,2,"['40078069', '22807679']",SLAMF1,SLAMF1,6504,signaling lymphocytic activation molecule family member 1
NDUFV3,electron transport complex i,1,['40116326'],NDUFV3,NDUFV3,4731,NADH:ubiquinone oxidoreductase subunit V3
ATP7A,atpase copper transporting alpha,0,[],ATP7A,ATP7A,538,ATPase copper transporting alpha
ICAM1,intercellular adhesion molecule 1,434,"['40524158', '40471388', '40433870', '40325173', '40158469', '39611400', '39481313', '39405404', '39182270', '39044690', '39014377', '38981846', '38953577', '38928206', '38848887', '38686411', '38579513', '38419044', '38406786', '38348045', '38313162', '38287826', '38254684', '38237222', '38201208', '37962585', '37686458', '37467969', '37440431', '37212089', '37047303', '36869357', '36802387', '36696856', '36614145', '36512674', '36510199', '36333626', '36119052', '35818064', '35784283', '35621073', '35441408', '35435723', '35363162', '35362944', '35328486', '35286924', '35178052', '34831270', '34784496', '34713625', '34592427', '34535154', '34508746', '34500368', '34272079', '34214123', '33956665', '33872468', '33845100', '33684389', '33608025', '33563757', '33474594', '33314296', '33174038', '33122024', '33070370', '32973783', '32873853', '32631901', '32506691', '32087302', '31908006', '31726451', '31595873', '31511042', '31461325', '31390038', '31192950', '31167111', '31028466', '30954691', '30896839', '30892678', '30839512', '30312800', '30280790', '30203430', '30045788', '30036577', '30024307', '29956071', '29809052', '29794022', '29750963', '29689269', '29681903', '29655568', '29601599', '29442046', '29434211', '29432911', '29393707', '29367729', '29345380', '29251990', '29240645', '29056520', '29028771', '28797776', '28679535', '28658674', '28655573', '28562476', '28503576', '28497397', '28424824', '28276491', '27993857', '27975098', '27878684', '27862204', '27801365', '27190303', '27058048', '27701021', '27696085', '27683819', '27539881', '27525872', '27503310', '26836136', '26768428', '26647392', '26449522', '26428851', '26375251', '26253656', '26222821', '26081365', '26009826', '25960104', '25959124', '25764397', '25665611', '25659903', '25497831', '25446843', '25352055', '25277468', '25269519', '25224275', '25205725', '25182529', '25172493', '25098198', '25027428', '25019304', '25016133', '25001863', '24891762', '24876676', '24709833', '24708631', '24696356', '24602331', '24578383', '24576991', '24484066', '24451364', '24425537', '24272999', '24116740', '24116078', '24069301', '24013483', '23845107', '23774598', '23726757', '23689670', '23653476', '23637043', '23562296', '23551520', '23524845', '23414982', '23306157', '23298677', '23295265', '23275604', '23183901', '23155312', '23142774', '22871404', '22732224', '22695425', '22673309', '22635047', '22607100', '22503596', '22475355', '22398755', '22344597', '22258235', '22257935', '22186927', '22143599', '23650672', '22020240', '21907691', '21824173', '21823002', '21787467', '21773896', '21722967', '21688797', '21560348', '21522043', '21421450', '21378027', '21315003', '21286681', '21278343', '21224058', '20958969', '20863520', '20733008', '20588003', '20546573', '20518087', '20495770', '20478717', '20451670', '20398379', '20339148', '20236627', '20229041', '20207754', '20177680', '20148283', '20137594', '20064258', '20032118', '20007578', '19917697', '19776691', '19710092', '19581374', '19560161', '19536455', '19496026', '19416526', '19346756', '19295483', '19120693', '22059356', '18952238', '18930765', '18854985', '18822108', '18679107', '18665080', '18628355', '18602812', '18598003', '18404134', '18378574', '18216604', '18164036', '17991708', '17973899', '17855815', '17683945', '17599903', '17565047', '17564956', '17475871', '17452927', '17414422', '17414419', '17369472', '17314258', '17312221', '17291476', '17287636', '17234893', '17122967', '17092373', '17068159', '17059833', '16985210', '16982927', '16959151', '16942763', '16934241', '16888200', '16778157', '16552357', '16487252', '16456445', '16424738', '16307220', '16137344', '16111167', '15988322', '15943182', '15907522', '15828130', '15816357', '15797891', '15797263', '15784841', '15661828', '15482664', '15482661', '15087825', '15067502', '15039231', '14752832', '14724344', '14703465', '14625480', '14605526', '14572778', '14522392', '14501901', '12974876', '12865664', '12847398', '12808217', '12744488', '12630524', '12578121', '12544905', '12515646', '12456506', '12237888', '12181165', '12166779', '12165537', '12121861', '12108870', '12034076', '12022767', '11940750', '11930245', '11897650', '11807718', '11750194', '11688328', '11509637', '11480583', '11254521', '11220773', '11220648', '11162043', '11045959', '11035437', '10990102', '10921602', '10875093', '10843873', '10837368', '10834667', '10807017', '10761722', '10760185', '10666210', '10628605', '10617927', '10594559', '10586911', '10570304', '10514421', '10491379', '10462378', '10438959', '10432050', '10386441', '10382751', '10328178', '10233844', '10101023', '10069420', '10051474', '10051263', '9921711', '9918921', '9858318', '9788457', '9781723', '9773833', '9724257', '9626052', '9565260', '9554647', '9517590', '9441911', '9308320', '9130629', '9119455', '9099317', '9280904', '8989183', '8946651', '8917025', '8916792', '8699084', '8698512', '8829772', '8625624', '8617433', '8857119', '8603986', '8969810', '8608402', '7590673', '7561172', '7636213', '8527401', '7768509', '7735595', '7844370', '8579638', '8548203', '7533138', '7819716', '7519108', '7911822', '8218599', '8093567', '1705305']",ICAM1,ICAM1,3383,intercellular adhesion molecule 1
NFKBIB,NFKB,1,['34539638'],NFKBIB,NFKBIB,4793,NFKB inhibitor beta
PDE6C,phosphodiesterase 6c,0,[],PDE6C,PDE6C,5146,phosphodiesterase 6C
CEBPB,ccaat enhancer binding protein beta,17,"['40442112', '39993996', '38944364', '38809052', '38039751', '37980295', '36943063', '33649198', '33100122', '33032623', '31856860', '31415393', '30497506', '28476751', '27932520', '23024276', '15192048']",CEBPB,CEBPB,1051,CCAAT enhancer binding protein beta
