NDUFS5,,,OpenTarget,,,OpenTarget
AVPR1A,,,OpenTarget,,,OpenTarget
GUCY1B1,,,OpenTarget,,,OpenTarget
LAMB3,,,,Monarch,,Monarch
COX8A,,,,Monarch,,Monarch
ALOX5,,CTD,,,,CTD
NCOA2,,,,,Sepon,Sepon
BLNK,,,,Monarch,,Monarch
IGLL1,,,,Monarch,,Monarch
MEG3,,,,,Sepon,Sepon
MIR147B,,,,,Sepon,Sepon
PDE6D,,,OpenTarget,,,OpenTarget
PDCD1,,,OpenTarget,,,OpenTarget
DLL1,,,,,Sepon,Sepon
NDUFS4,,,OpenTarget,,,OpenTarget
FOCAD,,,,Monarch,,Monarch
CRLF2,,,,,Sepon,Sepon
CP,,,,,Sepon,Sepon
CYP2A6,,,,,Sepon,Sepon
MIR16-1,,,,,Sepon,Sepon
NOS3,DisGeNET,CTD,,,,"DisGeNET,CTD"
NDUFB1,,,OpenTarget,,,OpenTarget
PDE3B,,,OpenTarget,,,OpenTarget
NDUFA1,,,OpenTarget,,,OpenTarget
SULT2B1,,,,Monarch,,Monarch
NDUFV3,,,OpenTarget,,,OpenTarget
FCGR1A,,,,,Sepon,Sepon
GABRB2,,,OpenTarget,,,OpenTarget
CD86,,,,,Sepon,Sepon
S100A12,,,,,Sepon,Sepon
CYBA,,,,Monarch,,Monarch
PRDX4,,,,,Sepon,Sepon
GRIN2A,,,OpenTarget,,,OpenTarget
GABRG1,,,OpenTarget,,,OpenTarget
DRD2,,,OpenTarget,,,OpenTarget
RNF13,,,,Monarch,,Monarch
APOB,,,,,Sepon,Sepon
XIAP,DisGeNET,,,,,DisGeNET
NCF2,,,,Monarch,,Monarch
NDUFA2,,,OpenTarget,,,OpenTarget
GABRQ,,,OpenTarget,,,OpenTarget
PDE1A,,,OpenTarget,,,OpenTarget
ADORA2B,DisGeNET,CTD,OpenTarget,,,"DisGeNET,CTD,OpenTarget"
GRIN2B,,,OpenTarget,,,OpenTarget
REG1A,,,,,Sepon,Sepon
HP,,,,,Sepon,Sepon
GRIN1,,,OpenTarget,,,OpenTarget
NDUFV2,,,OpenTarget,,,OpenTarget
JAK2,,,OpenTarget,,,OpenTarget
MIR574,,,,,Sepon,Sepon
THBS1,,,,,Sepon,Sepon
NDUFB9,,,OpenTarget,,,OpenTarget
GRIN2C,,,OpenTarget,,,OpenTarget
PDE6B,,,OpenTarget,,,OpenTarget
ADA,,,,Monarch,,Monarch
AP1S3,,,,Monarch,,Monarch
HAMP,,,,,Sepon,Sepon
FCGR2C,,,,,Sepon,Sepon
SERAC1,,,,Monarch,,Monarch
SELENOP,,,,,Sepon,Sepon
MT-ND1,,,OpenTarget,,,OpenTarget
SERPINI2,,,,,Sepon,Sepon
NRTN,,,,Monarch,,Monarch
SASH3,,,,Monarch,,Monarch
MIR455,,,,,Sepon,Sepon
IL10,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
MT2A,DisGeNET,,,,,DisGeNET
YARS1,,,,Monarch,,Monarch
CASP3,DisGeNET,CTD,,,,"DisGeNET,CTD"
OPTN,,,,,Sepon,Sepon
GSR,,,,,Sepon,Sepon
ADRB3,,,OpenTarget,,,OpenTarget
PDE2A,,,OpenTarget,,,OpenTarget
DPEP1,,,OpenTarget,,,OpenTarget
ABCA3,,,,Monarch,,Monarch
FOXP3,,,,Monarch,,Monarch
MTNR1A,,,OpenTarget,,,OpenTarget
CXCL12,,,,,Sepon,Sepon
SIRT2,,,,,Sepon,Sepon
SEC61A1,,,,Monarch,,Monarch
GYPB,,,,,Sepon,Sepon
RFTN1,,,,,Sepon,Sepon
MIR199A2,,,,,Sepon,Sepon
MIR146A,,,,,Sepon,Sepon
LBP,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
GABRA5,,,OpenTarget,,,OpenTarget
CYSLTR1,,,OpenTarget,,,OpenTarget
MTNR1B,,,OpenTarget,,,OpenTarget
NDUFA13,,,OpenTarget,,,OpenTarget
ZFAS1,,,,,Sepon,Sepon
MT1,,CTD,,,,CTD
PDE1C,,,OpenTarget,,,OpenTarget
CXCR4,,,,Monarch,,Monarch
ITGAX,,,,,Sepon,Sepon
CD27,,,,Monarch,,Monarch
AZU1,,,,,Sepon,Sepon
MIR122,,,,,Sepon,Sepon
C5AR1,,CTD,,,,CTD
MT-ND3,,,OpenTarget,,,OpenTarget
PON1,,,,,Sepon,Sepon
GABRA4,,,OpenTarget,,,OpenTarget
DEPDC5,,,,Monarch,,Monarch
MDK,,,,,Sepon,Sepon
NORAD,,,,,Sepon,Sepon
LMOD1,,,,Monarch,,Monarch
IFNG,DisGeNET,CTD,,,,"DisGeNET,CTD"
APOA5,,,,,Sepon,Sepon
SLC39A7,,,,Monarch,,Monarch
MT2,,CTD,,,,CTD
RAC2,,,,Monarch,,Monarch
HMOX1,,,,Monarch,Sepon,"Monarch,Sepon"
MAPK3,DisGeNET,CTD,,,,"DisGeNET,CTD"
GDNF,,,,Monarch,,Monarch
IL9,,,,,Sepon,Sepon
IL1B,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
RPL4,DisGeNET,CTD,,,,"DisGeNET,CTD"
HTR3A,,,OpenTarget,,,OpenTarget
ERBB2,,,,Monarch,,Monarch
LIG4,,,,Monarch,,Monarch
MIR133A2,,,,,Sepon,Sepon
MIR1184-1,,,,,Sepon,Sepon
LRBA,,,,Monarch,,Monarch
NDUFB3,,,OpenTarget,,,OpenTarget
CALCRL,,,,,Sepon,Sepon
GPD2,,,OpenTarget,,,OpenTarget
NDUFAB1,,,OpenTarget,,,OpenTarget
NDUFA7,,,OpenTarget,,,OpenTarget
TOP2A,DisGeNET,CTD,,,,"DisGeNET,CTD"
DOCK8,,,,Monarch,,Monarch
AIRE,,,,Monarch,,Monarch
AVP,,,,,Sepon,Sepon
MIR328,,,,,Sepon,Sepon
IFNA2,,CTD,,,,CTD
PDE8B,,,OpenTarget,,,OpenTarget
F8,,,OpenTarget,,Sepon,"OpenTarget,,Sepon"
ERBB3,,,,Monarch,,Monarch
MICA,,,,,Sepon,Sepon
ACLY,,,,,Sepon,Sepon
FABP3,,,,,Sepon,Sepon
KRT5,,,,Monarch,,Monarch
GAS6,,,,,Sepon,Sepon
CD14,,,,,Sepon,Sepon
MIR181A1,,,,,Sepon,Sepon
LY96,,,OpenTarget,,,OpenTarget
NDUFA9,,,OpenTarget,,,OpenTarget
REG3A,,,,,Sepon,Sepon
CRP,,,,,Sepon,Sepon
HMGCR,,,OpenTarget,,,OpenTarget
CD79A,,,,Monarch,Sepon,"Monarch,Sepon"
NR3C1,,,OpenTarget,,,OpenTarget
PDE4B,,,OpenTarget,,,OpenTarget
NDUFS7,,,OpenTarget,,,OpenTarget
NDUFS8,,,OpenTarget,,,OpenTarget
VSTM1,,,,,Sepon,Sepon
GABRG3,,,OpenTarget,,,OpenTarget
SFTPC,,,,Monarch,,Monarch
BCL2L10,,,,,Sepon,Sepon
MNX1,,,,Monarch,,Monarch
LEP,,,,,Sepon,Sepon
IL1RN,,,,,Sepon,Sepon
CD79B,,,,Monarch,,Monarch
RGL4,,,,,Sepon,Sepon
APC,,,,Monarch,,Monarch
GDF15,,,,,Sepon,Sepon
SIGLEC10,,,,,Sepon,Sepon
VDR,,,OpenTarget,,Sepon,"OpenTarget,,Sepon"
INSR,,,OpenTarget,,,OpenTarget
FGL2,,,,,Sepon,Sepon
SERPINA1,,,,,Sepon,Sepon
SMPD3,,,,,Sepon,Sepon
OTC,,CTD,,,,CTD
SPINK5,,,,Monarch,,Monarch
CISH,,CTD,,,,CTD
PID1,,,,,Sepon,Sepon
ADRA2C,,,OpenTarget,,,OpenTarget
LRG1,,,,,Sepon,Sepon
GRIN2D,,,OpenTarget,,,OpenTarget
COG4,,,,Monarch,,Monarch
STIM1,,,,Monarch,,Monarch
NCF4,,,,Monarch,,Monarch
FN1,,,,,Sepon,Sepon
CR1,,,,,Sepon,Sepon
AGTR1,,,OpenTarget,,,OpenTarget
LOC109286556,,,,,Sepon,Sepon
HLA-B,,,,Monarch,,Monarch
CYBC1,,,,Monarch,,Monarch
NDUFA10,,,OpenTarget,,,OpenTarget
EDN3,,,,Monarch,,Monarch
NDUFA4,,,OpenTarget,,,OpenTarget
GABRA2,,,OpenTarget,,,OpenTarget
PDE6H,,,OpenTarget,,,OpenTarget
MIR15A,,,,,Sepon,Sepon
NDUFS2,,,OpenTarget,,,OpenTarget
FA2H,,,,,Sepon,Sepon
PDE10A,,,OpenTarget,,,OpenTarget
LGALS3,,,,,Sepon,Sepon
MIF,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
FCN1,,,,,Sepon,Sepon
SAMD9,,,,Monarch,,Monarch
IL18,,,,,Sepon,Sepon
A2M,,,,,Sepon,Sepon
CPS1,,CTD,,,,CTD
NDUFB8,,,OpenTarget,,,OpenTarget
MIR34A,,,,,Sepon,Sepon
PGM3,,,,Monarch,,Monarch
RET,,,,Monarch,,Monarch
ADRA2B,,,OpenTarget,,,OpenTarget
SOX21,,,,,Sepon,Sepon
ADRA1A,,,OpenTarget,,,OpenTarget
ITGAM,,,,,Sepon,Sepon
SFTPB,,,,Monarch,,Monarch
NDUFAF1,,,OpenTarget,,,OpenTarget
NDUFAF3,,,OpenTarget,,,OpenTarget
ICAM1,,,,,Sepon,Sepon
GRN,,,,,Sepon,Sepon
MIR223,,,,,Sepon,Sepon
ADORA2A,DisGeNET,CTD,OpenTarget,,,"DisGeNET,CTD,OpenTarget"
F5,,,OpenTarget,,,OpenTarget
LAMA3,,,,Monarch,,Monarch
HLA-A,,,,,Sepon,Sepon
CSF2RA,,,OpenTarget,,,OpenTarget
ADM,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
MT-ND4,,,OpenTarget,,,OpenTarget
IL6,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
NDUFS3,,,OpenTarget,,,OpenTarget
NDUFB10,,,OpenTarget,,,OpenTarget
MIR193B,,,,,Sepon,Sepon
ALOXE3,,,,Monarch,,Monarch
IGHM,,,,Monarch,,Monarch
TGM1,,,,Monarch,,Monarch
CHI3L1,,,,,Sepon,Sepon
TIMP1,,,,,Sepon,Sepon
MAPK1,DisGeNET,CTD,,,,"DisGeNET,CTD"
GABRE,,,OpenTarget,,,OpenTarget
GPR33,,,,,Sepon,Sepon
PALLD,,,,,Sepon,Sepon
SYNC,,,,,Sepon,Sepon
RFXANK,,,,Monarch,,Monarch
HGF,,,,,Sepon,Sepon
FTMT,,,,,Sepon,Sepon
PLA2G2A,,,,,Sepon,Sepon
TRPV1,,,OpenTarget,,,OpenTarget
AVPR1B,,,OpenTarget,,,OpenTarget
IL12A,,,,,Sepon,Sepon
NPPB,,,,,Sepon,Sepon
LTA,DisGeNET,CTD,,,,"DisGeNET,CTD"
DEF6,,,,Monarch,,Monarch
MT-ND2,,,OpenTarget,,,OpenTarget
EFL1,,,,Monarch,,Monarch
CD274,,,,,Sepon,Sepon
NDUFV1,,,OpenTarget,,,OpenTarget
SIRT1,,,OpenTarget,,,OpenTarget
PGF,,,,,Sepon,Sepon
TGFBI,DisGeNET,CTD,,,,"DisGeNET,CTD"
FABP2,,,,,Sepon,Sepon
MIR199A1,,,,,Sepon,Sepon
TNF,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
NDUFA8,,,OpenTarget,,,OpenTarget
SDR9C7,,,,Monarch,,Monarch
BCHE,,,,,Sepon,Sepon
GABRP,,,OpenTarget,,,OpenTarget
TNNI3,,,,,Sepon,Sepon
ATP5F1A,,CTD,,,,CTD
ABCB1B,,CTD,,,,CTD
CDH5,,,,,Sepon,Sepon
RFXAP,,,,,Sepon,Sepon
SERPINC1,,,OpenTarget,,Sepon,"OpenTarget,,Sepon"
CD40LG,,,,Monarch,Sepon,"Monarch,Sepon"
STK4,,,,Monarch,,Monarch
IFNL2,,,,,Sepon,Sepon
CHD7,,,,Monarch,,Monarch
MT1A,DisGeNET,,,,,DisGeNET
MALAT1,,,,,Sepon,Sepon
SPP1,,,,,Sepon,Sepon
TNFSF14,,,,,Sepon,Sepon
MYH11,,,,Monarch,,Monarch
NDUFS1,,,OpenTarget,,,OpenTarget
PDE6A,,,OpenTarget,,,OpenTarget
HMGB1,DisGeNET,CTD,,,,"DisGeNET,CTD"
NDUFA12,,,OpenTarget,,,OpenTarget
PCSK9,,,OpenTarget,,,OpenTarget
TSLP,,,,,Sepon,Sepon
CALCA,,,,,Sepon,Sepon
TLR9,,,OpenTarget,,,OpenTarget
SELE,,,,,Sepon,Sepon
ESM1,,,,,Sepon,Sepon
RAG1,,,,Monarch,,Monarch
FOXN1,,,,Monarch,,Monarch
G6PC3,,,,Monarch,,Monarch
TIRAP,,CTD,,,,CTD
ADRA2A,,,OpenTarget,,,OpenTarget
GC,,CTD,,,Sepon,"CTD,,,Sepon"
GABRA1,,,OpenTarget,,,OpenTarget
NDUFB7,,,OpenTarget,,,OpenTarget
PTGS2,,,OpenTarget,,,OpenTarget
IDH1,,,,Monarch,,Monarch
ANGPT2,,,,,Sepon,Sepon
WIPF1,,,,Monarch,,Monarch
PVT1,,,,,Sepon,Sepon
PDE4C,,,OpenTarget,,,OpenTarget
ABCA12,,,,Monarch,,Monarch
IL7R,,,,Monarch,,Monarch
IL17D,,,,,Sepon,Sepon
FCGR3B,,,,Monarch,,Monarch
FAAH,,,OpenTarget,,,OpenTarget
NDUFS6,,,OpenTarget,,,OpenTarget
RFX5,,,,Monarch,,Monarch
NLRP3,,CTD,,,Sepon,"CTD,,,Sepon"
MRTFA,,,,Monarch,,Monarch
APOA1,,,,,Sepon,Sepon
SEMA3D,,,,Monarch,,Monarch
NDUFA5,,,OpenTarget,,,OpenTarget
IKZF1,,,,Monarch,,Monarch
LIPN,,,,Monarch,,Monarch
MIR16-2,,,,,Sepon,Sepon
MIR141,,,,,Sepon,Sepon
KRT14,,,,Monarch,,Monarch
C1QB,,,,Monarch,,Monarch
CCL4,,,,,Sepon,Sepon
IFIT2,,,,,Sepon,Sepon
MIR15B,,,,,Sepon,Sepon
S100A8,,,,,Sepon,Sepon
PDE3A,,,OpenTarget,,,OpenTarget
CCL3,,,,,Sepon,Sepon
SOD2,,CTD,,,,CTD
CXCR2,DisGeNET,CTD,,,,"DisGeNET,CTD"
MIR143,,,,,Sepon,Sepon
NIPAL4,,,,Monarch,,Monarch
MIR27A,,,,,Sepon,Sepon
PDE6C,,,OpenTarget,,,OpenTarget
GUCY1B2,,,OpenTarget,,,OpenTarget
PDE7A,,,OpenTarget,,,OpenTarget
NDUFAF4,,,OpenTarget,,,OpenTarget
MIR146B,,,,,Sepon,Sepon
PTX3,,,,,Sepon,Sepon
F3,,,,,Sepon,Sepon
TJP1,,,,,Sepon,Sepon
PDE4D,,,OpenTarget,,,OpenTarget
CLEC5A,,,,,Sepon,Sepon
NCF1,,,,Monarch,,Monarch
GJB2,,,,Monarch,,Monarch
NDUFC1,,,OpenTarget,,,OpenTarget
IL36RN,,,,Monarch,,Monarch
LRRC8A,,,,Monarch,,Monarch
MT-ND5,,,OpenTarget,,,OpenTarget
LCN2,,,,,Sepon,Sepon
CD177,,,,,Sepon,Sepon
GABRA3,,,OpenTarget,,,OpenTarget
PLG,,,OpenTarget,,,OpenTarget
HSPA9,,CTD,,,,CTD
RETN,,,,,Sepon,Sepon
SPI1,,,,Monarch,,Monarch
NDUFA6,,,OpenTarget,,,OpenTarget
SREBF1,,,,Monarch,,Monarch
CD80,,,,,Sepon,Sepon
ASPRV1,,,,Monarch,,Monarch
TGFB1,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
HTR4,,,OpenTarget,,,OpenTarget
AK2,,,,Monarch,,Monarch
ENO2,,,,,Sepon,Sepon
MIR133A1,,,,,Sepon,Sepon
NDUFC2,,,OpenTarget,,,OpenTarget
ORM1,,,,,Sepon,Sepon
CSF3,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
GABRG2,,,OpenTarget,,,OpenTarget
JAK1,,,OpenTarget,,,OpenTarget
C5,,,OpenTarget,,,OpenTarget
CHGA,,,,,Sepon,Sepon
GABRD,,,OpenTarget,,,OpenTarget
PLAT,,CTD,,,,CTD
IL1R1,,,OpenTarget,,,OpenTarget
NDUFAF2,,,OpenTarget,,,OpenTarget
NDUFB5,,,OpenTarget,,,OpenTarget
TFF1,,,,,Sepon,Sepon
APOM,,,,,Sepon,Sepon
ELANE,,,OpenTarget,Monarch,,"OpenTarget,Monarch"
TFRC,,,,Monarch,,Monarch
PLAUR,,,,,Sepon,Sepon
ALG12,,,,Monarch,,Monarch
NOS2,DisGeNET,CTD,,,,"DisGeNET,CTD"
NAMPT,,,,,Sepon,Sepon
ADRB1,,,OpenTarget,,,OpenTarget
MMP9,DisGeNET,CTD,,,,"DisGeNET,CTD"
VPS33A,,,,Monarch,,Monarch
S100A3,,,,,Sepon,Sepon
NPPA,,,,,Sepon,Sepon
PKP1,,,,Monarch,,Monarch
PIK3R1,,,,Monarch,,Monarch
ADRA1B,,,OpenTarget,,,OpenTarget
ECE1,,,,Monarch,,Monarch
LAMC2,,,,Monarch,,Monarch
LILRA5,,,,,Sepon,Sepon
NRIP3,,,,,Sepon,Sepon
ATP7A,,,,Monarch,,Monarch
NDUFB4,,,OpenTarget,,,OpenTarget
EDNRB,,,,Monarch,,Monarch
RAG2,,,,Monarch,,Monarch
GABRB1,,,OpenTarget,,,OpenTarget
ITLN1,,,,,Sepon,Sepon
BTK,,,,Monarch,,Monarch
MRC1,,,,,Sepon,Sepon
GRIN3B,,,OpenTarget,,,OpenTarget
IL6R,,,OpenTarget,,,OpenTarget
MIR873,,,,,Sepon,Sepon
ANGPT1,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
MIR181A2,,,,,Sepon,Sepon
IFNL3,,,,,Sepon,Sepon
MT-ND4L,,,OpenTarget,,,OpenTarget
HLA-DRA,,CTD,,,,CTD
GALM,,,,Monarch,,Monarch
PROS1,,,,,Sepon,Sepon
NDUFB11,,,OpenTarget,,,OpenTarget
SIRT3,,,,,Sepon,Sepon
NDUFA4L2,,,OpenTarget,,,OpenTarget
PLD4,,,,,Sepon,Sepon
HYOU1,,,,Monarch,,Monarch
FERMT3,,,,Monarch,,Monarch
GABRA6,,,OpenTarget,,,OpenTarget
CYP4F22,,,,Monarch,,Monarch
AVPR2,,,OpenTarget,,,OpenTarget
PDE4A,,,OpenTarget,,,OpenTarget
DNAJC21,,,,Monarch,,Monarch
GSN,,,,,Sepon,Sepon
IL23A,,,,,Sepon,Sepon
IGKC,,,,Monarch,,Monarch
LTC4S,,,,,Sepon,Sepon
PDE8A,,,OpenTarget,,,OpenTarget
CTNNB1,,,,Monarch,,Monarch
ALOX12B,,,,Monarch,,Monarch
S100A9,,,,,Sepon,Sepon
PDE6G,,,OpenTarget,,,OpenTarget
SNHG7,,,,,Sepon,Sepon
PDE9A,,,OpenTarget,,,OpenTarget
