gene_symbol,DisGeNET,CTD,OpenTarget,Monarch,Sepon,IPA,sources,EvaluationSet
C3AR1,,,,,,IPA,IPA,Inferred
C5,,,OpenTarget,,,,OpenTarget,Inferred
C5AR1,,CTD,,,,,CTD,gold
CALCA,,,,,Sepon,,Sepon,Inferred
CALCRL,,,,,Sepon,,Sepon,Inferred
CAMK4,,,,,,IPA,IPA,Inferred
CAP1,,,,,,IPA,IPA,Inferred
CAPZA1,,,,,,IPA,IPA,Inferred
CASK,,,,,,IPA,IPA,Inferred
CASP1,,,,,,IPA,IPA,Inferred
CASP5,,,,,,IPA,IPA,Inferred
CASP7,,,,,,IPA,IPA,Inferred
CASP8,,,,,,IPA,IPA,Inferred
CASP9,,,,,,IPA,IPA,Inferred
CAV1,,,,,,IPA,IPA,Inferred
CCL2,,,,,Sepon,,Sepon,Inferred
CCL3,,,,,Sepon,,Sepon,Inferred
CCL4,,,,,Sepon,,Sepon,Inferred
CCL5,,,,,,IPA,IPA,Inferred
CCNA1,,,,,,IPA,IPA,Inferred
CCR5,,,,,,IPA,IPA,Inferred
CCR7,,,,,,IPA,IPA,Inferred
CD14,,,,,Sepon,IPA,"Sepon,IPA",Inferred
CD163,,,,,Sepon,IPA,"Sepon,IPA",Inferred
CD177,,,,,Sepon,IPA,"Sepon,IPA",Inferred
CD2,,,,,,IPA,IPA,Inferred
CD247,,,,,,IPA,IPA,Inferred
CD27,,,,Monarch,,,Monarch,Inferred
CD274,,,,,Sepon,,Sepon,Inferred
CD3D,,,,,,IPA,IPA,Inferred
CD3E,,,,,,IPA,IPA,Inferred
CD3G,,,,,,IPA,IPA,Inferred
CD40LG,,,,Monarch,Sepon,,"Monarch,Sepon",Inferred
CD44,,,,,,IPA,IPA,Inferred
CD48,,,,,,IPA,IPA,Inferred
CD5,,,,,,IPA,IPA,Inferred
CD55,,,,,,IPA,IPA,Inferred
CD58,,,,,,IPA,IPA,Inferred
CD59,,,,,,IPA,IPA,Inferred
CD74,,,,,,IPA,IPA,Inferred
CD79A,,,,Monarch,Sepon,,"Monarch,Sepon",Inferred
CD79B,,,,Monarch,,,Monarch,Inferred
CD80,,,,,Sepon,,Sepon,Inferred
CD81,,,,,,IPA,IPA,Inferred
CD86,,,,,Sepon,,Sepon,Inferred
CD8A,,,,,,IPA,IPA,Inferred
CDC42EP3,,,,,,IPA,IPA,Inferred
CDH5,,,,,Sepon,,Sepon,Inferred
CDK5RAP2,,,,,,IPA,IPA,Inferred
CDKN3,,,,,,IPA,IPA,Inferred
CEACAM1,,,,,,IPA,IPA,Inferred
CEACAM6,,,,,,IPA,IPA,Inferred
CEACAM8,,,,,,IPA,IPA,Inferred
CEBPB,,,,,,IPA,IPA,Inferred
CEP55,,,,,,IPA,IPA,Inferred
CFL1,,,,,,IPA,IPA,Inferred
CHD7,,,,Monarch,,,Monarch,Inferred
CHGA,,,,,Sepon,,Sepon,Inferred
CHI3L1,,,,,Sepon,,Sepon,Inferred
CHUK,,,,,,IPA,IPA,Inferred
CIITA,,,,,,IPA,IPA,Inferred
CISH,,CTD,,,,,CTD,gold
CKAP4,,,,,,IPA,IPA,Inferred
CKS2,,,,,,IPA,IPA,Inferred
CLEC4D,,,,,,IPA,IPA,Inferred
CLEC4E,,,,,,IPA,IPA,Inferred
CLEC5A,,,,,Sepon,IPA,"Sepon,IPA",Inferred
CLIC4,,,,,,IPA,IPA,Inferred
CLTC,,,,,,IPA,IPA,Inferred
COG4,,,,Monarch,,,Monarch,Inferred
COLQ,,,,,,IPA,IPA,Inferred
COP1,,,,,,IPA,IPA,Inferred
COPB1,,,,,,IPA,IPA,Inferred
COX7A2,,,,,,IPA,IPA,Inferred
COX8A,,,,Monarch,,,Monarch,Inferred
CP,,,,,Sepon,,Sepon,Inferred
CPA5,,,,,,IPA,IPA,Inferred
CPS1,,CTD,,,,,CTD,gold
CR1,,,,,Sepon,,Sepon,Inferred
CRLF2,,,,,Sepon,,Sepon,Inferred
CRP,,,,,Sepon,,Sepon,Inferred
CSF1R,,,,,,IPA,IPA,Inferred
CSF2RA,,,OpenTarget,,,,OpenTarget,Inferred
CSF2RB,,,,,,IPA,IPA,Inferred
CSF3R,,,,,,IPA,IPA,Inferred
CSTB,,,,,,IPA,IPA,Inferred
CTCF,,,,Monarch,,,Monarch,Inferred
CTLA4,,,,Monarch,,,Monarch,Inferred
CTNNB1,,,,Monarch,,IPA,"Monarch,,IPA",Inferred
CTSD,,,,,,IPA,IPA,Inferred
CTSG,,,,,,IPA,IPA,Inferred
CTSO,,,,,,IPA,IPA,Inferred
CX3CR1,,,,,,IPA,IPA,Inferred
CXCL10,,,,,Sepon,,Sepon,Inferred
CXCL12,,,,,Sepon,,Sepon,Inferred
CXCL16,,,,,Sepon,,Sepon,Inferred
CXCL5,,,,,,IPA,IPA,Inferred
CXCR4,,,,Monarch,,,Monarch,Inferred
CYBA,,,,Monarch,,,Monarch,Inferred
CYBB,,,,Monarch,,IPA,"Monarch,,IPA",Inferred
CYBC1,,,,Monarch,,,Monarch,Inferred
CYP2A6,,,,,Sepon,,Sepon,Inferred
CYP4F22,,,,Monarch,,,Monarch,Inferred
CYP51A1,,,,,,IPA,IPA,Inferred
CYSLTR1,,,OpenTarget,,,,OpenTarget,Inferred
DCLRE1C,,,,Monarch,,,Monarch,Inferred
DEF6,,,,Monarch,,,Monarch,Inferred
DEFA4,,,,,,IPA,IPA,Inferred
DEPDC5,,,,Monarch,,,Monarch,Inferred
DHCR7,,,,,,IPA,IPA,Inferred
DHRS3,,,,,,IPA,IPA,Inferred
DHRS9,,,,,,IPA,IPA,Inferred
DLL1,,,,,Sepon,,Sepon,Inferred
DNAJB11,,,,,,IPA,IPA,Inferred
DNAJC21,,,,Monarch,,,Monarch,Inferred
DNMT1,,,,,,IPA,IPA,Inferred
DOCK8,,,,Monarch,,,Monarch,Inferred
DPEP1,,,OpenTarget,,,,OpenTarget,Inferred
DPP4,,,,,,IPA,IPA,Inferred
DRD2,,,OpenTarget,,,,OpenTarget,Inferred
DSC2,,,,,,IPA,IPA,Inferred
DUSP11,,,,,,IPA,IPA,Inferred
DUSP3,,,,,,IPA,IPA,Inferred
ECE1,,,,Monarch,,,Monarch,Inferred
ECT2,,,,,,IPA,IPA,Inferred
EDN3,,,,Monarch,,,Monarch,Inferred
EDNRB,,,,Monarch,,,Monarch,Inferred
EEF2,,,,,,IPA,IPA,Inferred
EFL1,,,,Monarch,,,Monarch,Inferred
EGLN1,,,,,,IPA,IPA,Inferred
EIF4G3,,,,,,IPA,IPA,Inferred
ELANE,,,OpenTarget,Monarch,,,"OpenTarget,Monarch",Inferred
ENO2,,,,,Sepon,,Sepon,Inferred
ENTPD1,,,,,,IPA,IPA,Inferred
EPOR,,,,,,IPA,IPA,Inferred
EPS15,,,,,,IPA,IPA,Inferred
ERBB2,,,,Monarch,,,Monarch,Inferred
ERBB3,,,,Monarch,,,Monarch,Inferred
ERLIN2,,,,,,IPA,IPA,Inferred
ESM1,,,,,Sepon,,Sepon,Inferred
ETS1,,,,,,IPA,IPA,Inferred
ETS2,,,,,,IPA,IPA,Inferred
EXOSC4,,,,,,IPA,IPA,Inferred
EXTL3,,,,Monarch,,,Monarch,Inferred
F2RL1,,,,,,IPA,IPA,Inferred
F3,,,,,Sepon,,Sepon,Inferred
F5,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
F8,,,OpenTarget,,Sepon,,"OpenTarget,,Sepon",Inferred
FA2H,,,,,Sepon,,Sepon,Inferred
FAAH,,,OpenTarget,,,,OpenTarget,Inferred
FABP2,,,,,Sepon,,Sepon,Inferred
FABP3,,,,,Sepon,,Sepon,Inferred
FAS,,,,,,IPA,IPA,Inferred
FASLG,,,,,,IPA,IPA,Inferred
FBL,,,,,,IPA,IPA,Inferred
FCAR,,,,,,IPA,IPA,Inferred
FCER1G,,,,,,IPA,IPA,Inferred
FCGR1A,,,,,Sepon,IPA,"Sepon,IPA",Inferred
FCGR2A,,,,,,IPA,IPA,Inferred
FCGR2B,,,,,,IPA,IPA,Inferred
FCGR2C,,,,,Sepon,,Sepon,Inferred
FCGR3A,,,,,,IPA,IPA,Inferred
FCGR3B,,,,Monarch,,IPA,"Monarch,,IPA",Inferred
FCN1,,,,,Sepon,,Sepon,Inferred
FERMT3,,,,Monarch,,,Monarch,Inferred
FGFBP2,,,,,,IPA,IPA,Inferred
FGL2,,,,,Sepon,,Sepon,Inferred
FKBP5,,,,,,IPA,IPA,Inferred
FLVCR1,,,,,Sepon,,Sepon,Inferred
FN1,,,,,Sepon,,Sepon,Inferred
FOCAD,,,,Monarch,,,Monarch,Inferred
FOLR3,,,,,,IPA,IPA,Inferred
FOXN1,,,,Monarch,,,Monarch,Inferred
FOXO3,,,,,,IPA,IPA,Inferred
FOXP3,,,,Monarch,,,Monarch,Inferred
FRMD4B,,,,,,IPA,IPA,Inferred
FTMT,,,,,Sepon,,Sepon,Inferred
FYN,,,,,,IPA,IPA,Inferred
G6PC3,,,,Monarch,,,Monarch,Inferred
GABRA1,,,OpenTarget,,,,OpenTarget,Inferred
GABRA2,,,OpenTarget,,,,OpenTarget,Inferred
GABRA3,,,OpenTarget,,,,OpenTarget,Inferred
GABRA4,,,OpenTarget,,,,OpenTarget,Inferred
GABRA5,,,OpenTarget,,,,OpenTarget,Inferred
GABRA6,,,OpenTarget,,,,OpenTarget,Inferred
GABRB1,,,OpenTarget,,,,OpenTarget,Inferred
GABRB2,,,OpenTarget,,,,OpenTarget,Inferred
GABRB3,,,OpenTarget,,,,OpenTarget,Inferred
GABRD,,,OpenTarget,,,,OpenTarget,Inferred
GABRE,,,OpenTarget,,,,OpenTarget,Inferred
GABRG1,,,OpenTarget,,,,OpenTarget,Inferred
GABRG2,,,OpenTarget,,,,OpenTarget,Inferred
GABRG3,,,OpenTarget,,,,OpenTarget,Inferred
GABRP,,,OpenTarget,,,,OpenTarget,Inferred
GABRQ,,,OpenTarget,,,,OpenTarget,Inferred
GADD45A,,,,,,IPA,IPA,Inferred
GADD45B,,,,,,IPA,IPA,Inferred
GALM,,,,Monarch,,,Monarch,Inferred
GALT,,,,Monarch,,,Monarch,Inferred
GAS6,,,,,Sepon,,Sepon,Inferred
GATA3,,,,,,IPA,IPA,Inferred
GBP1,,,,,,IPA,IPA,Inferred
GBP2,,,,,,IPA,IPA,Inferred
GBP4,,,,,,IPA,IPA,Inferred
GC,,CTD,,,Sepon,,"CTD,,,Sepon",gold
GCLM,,,,,,IPA,IPA,Inferred
GDF15,,,,,Sepon,,Sepon,Inferred
GDNF,,,,Monarch,,,Monarch,Inferred
GGH,,,,,,IPA,IPA,Inferred
GJB2,,,,Monarch,,,Monarch,Inferred
GJB6,,,,Monarch,,,Monarch,Inferred
GLRX,,,,,,IPA,IPA,Inferred
GLRX5,,,,,,IPA,IPA,Inferred
GMNN,,,,,,IPA,IPA,Inferred
GNLY,,,,,,IPA,IPA,Inferred
GPD2,,,OpenTarget,,,,OpenTarget,Inferred
GPR33,,,,,Sepon,,Sepon,Inferred
GPR84,,,,,,IPA,IPA,Inferred
GRB10,,,,,,IPA,IPA,Inferred
GRB2,,,,,,IPA,IPA,Inferred
GRHPR,,,,,,IPA,IPA,Inferred
GRIN1,,,OpenTarget,,,,OpenTarget,Inferred
GRIN2A,,,OpenTarget,,,,OpenTarget,Inferred
GRIN2B,,,OpenTarget,,,,OpenTarget,Inferred
GRIN2C,,,OpenTarget,,,,OpenTarget,Inferred
GRIN2D,,,OpenTarget,,,,OpenTarget,Inferred
GRIN3A,,,OpenTarget,,,,OpenTarget,Inferred
GRIN3B,,,OpenTarget,,,,OpenTarget,Inferred
GRN,,,,,Sepon,,Sepon,Inferred
GSK3B,,,,,,IPA,IPA,Inferred
GSN,,,,,Sepon,,Sepon,Inferred
GSR,,,,,Sepon,IPA,"Sepon,IPA",Inferred
GSTO1,,,,,,IPA,IPA,Inferred
GUCY1B1,,,OpenTarget,,,,OpenTarget,Inferred
GUCY1B2,,,OpenTarget,,,,OpenTarget,Inferred
GYG1,,,,,,IPA,IPA,Inferred
GYPB,,,,,Sepon,,Sepon,Inferred
GZMA,,,,,,IPA,IPA,Inferred
GZMB,,,,,,IPA,IPA,Inferred
HAMP,,,,,Sepon,,Sepon,Inferred
HAT1,,,,,,IPA,IPA,Inferred
HCK,,,,,,IPA,IPA,Inferred
HGF,,,,,Sepon,IPA,"Sepon,IPA",Inferred
HIF1A,,,,,,IPA,IPA,Inferred
HK3,,,,,,IPA,IPA,Inferred
HLA-A,,,,,Sepon,,Sepon,Inferred
HLA-B,,,,Monarch,,,Monarch,Inferred
HLA-DMA,,,,,,IPA,IPA,Inferred
HLA-DMB,,,,,,IPA,IPA,Inferred
HLA-DPA1,,,,,,IPA,IPA,Inferred
HLA-DPB1,,,,,,IPA,IPA,Inferred
HLA-DQB1,,,,,,IPA,IPA,Inferred
HLA-DRA,,CTD,,,,IPA,"CTD,,,,IPA",gold
HMGB2,,,,,,IPA,IPA,Inferred
HMGCR,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
HMMR,,,,,,IPA,IPA,Inferred
HMOX1,,,,Monarch,Sepon,,"Monarch,Sepon",Inferred
HP,,,,,Sepon,,Sepon,Inferred
HPSE,,,,,,IPA,IPA,Inferred
HSP90AB1,,,,,,IPA,IPA,Inferred
HSP90B1,,,,,,IPA,IPA,Inferred
HSPA5,,,,,,IPA,IPA,Inferred
HSPA9,,CTD,,,,,CTD,gold
HSPD1,,CTD,,,,,CTD,gold
HTR3A,,,OpenTarget,,,,OpenTarget,Inferred
HTR4,,,OpenTarget,,,,OpenTarget,Inferred
HVCN1,,,,,,IPA,IPA,Inferred
HYOU1,,,,Monarch,,,Monarch,Inferred
ICAM1,,,,,Sepon,,Sepon,Inferred
IDH1,,,,Monarch,,,Monarch,Inferred
IFI27,,,,,,IPA,IPA,Inferred
IFIH1,,,,,,IPA,IPA,Inferred
IFIT1,,,,,,IPA,IPA,Inferred
IFIT2,,,,,Sepon,IPA,"Sepon,IPA",Inferred
IFIT3,,,,,,IPA,IPA,Inferred
IFIT5,,,,,,IPA,IPA,Inferred
IFITM1,,,,,,IPA,IPA,Inferred
IFITM3,,,,,,IPA,IPA,Inferred
IFNA2,,CTD,,,,,CTD,gold
IFNAR2,,,,,,IPA,IPA,Inferred
IFNGR1,,,,,,IPA,IPA,Inferred
IFNL2,,,,,Sepon,,Sepon,Inferred
IFNL3,,,,,Sepon,,Sepon,Inferred
IGFBP7,,,,,,IPA,IPA,Inferred
IGHG2,,,,Monarch,,,Monarch,Inferred
IGHM,,,,Monarch,,,Monarch,Inferred
IGKC,,,,Monarch,,,Monarch,Inferred
IGLL1,,,,Monarch,,,Monarch,Inferred
IKZF1,,,,Monarch,,,Monarch,Inferred
IKZF3,,,,,,IPA,IPA,Inferred
IL12A,,,,,Sepon,,Sepon,Inferred
IL12B,,,,,Sepon,,Sepon,Inferred
IL15,,,,,Sepon,IPA,"Sepon,IPA",Inferred
IL17D,,,,,Sepon,,Sepon,Inferred
IL18,,,,,Sepon,IPA,"Sepon,IPA",Inferred
IL18RAP,,,,,,IPA,IPA,Inferred
IL1R1,,,OpenTarget,,,,OpenTarget,Inferred
IL1RN,,,,,Sepon,,Sepon,Inferred
IL23A,,,,,Sepon,,Sepon,Inferred
IL27,,,,,Sepon,,Sepon,Inferred
IL2RB,,,,,,IPA,IPA,Inferred
IL2RG,,,,Monarch,,,Monarch,Inferred
IL36RN,,,,Monarch,,,Monarch,Inferred
IL6R,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
IL6ST,,,,,,IPA,IPA,Inferred
IL7R,,,,Monarch,,IPA,"Monarch,,IPA",Inferred
IL9,,,,,Sepon,,Sepon,Inferred
IMPDH1,,,,,,IPA,IPA,Inferred
INSL3,,,,,,IPA,IPA,Inferred
INSR,,,OpenTarget,,,,OpenTarget,Inferred
IRAK1,,,,,,IPA,IPA,Inferred
IRAK2,,,,,,IPA,IPA,Inferred
IRAK3,,,,,,IPA,IPA,Inferred
IRAK4,,,,,,IPA,IPA,Inferred
IRF7,,,,,,IPA,IPA,Inferred
ISG15,,,,,,IPA,IPA,Inferred
ITGA4,,,,,,IPA,IPA,Inferred
ITGAL,,,,,,IPA,IPA,Inferred
ITGAM,,,,,Sepon,IPA,"Sepon,IPA",Inferred
ITGAX,,,,,Sepon,,Sepon,Inferred
ITGB2,,,,,,IPA,IPA,Inferred
ITGB7,,,,,,IPA,IPA,Inferred
ITK,,,,,,IPA,IPA,Inferred
ITLN1,,,,,Sepon,,Sepon,Inferred
JAK1,,,OpenTarget,,,,OpenTarget,Inferred
JAK2,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
KBTBD7,,,,,,IPA,IPA,Inferred
KCNQ1OT1,,,,,Sepon,,Sepon,Inferred
KHDRBS1,,,,,,IPA,IPA,Inferred
KIF11,,,,,,IPA,IPA,Inferred
KIF1B,,,,,,IPA,IPA,Inferred
KLF1,,,,,Sepon,,Sepon,Inferred
KLF3,,,,,,IPA,IPA,Inferred
KLHL2,,,,,,IPA,IPA,Inferred
KLRD1,,,,,,IPA,IPA,Inferred
KLRF1,,,,,,IPA,IPA,Inferred
KLRG1,,,,,,IPA,IPA,Inferred
KLRK1,,,,,Sepon,,Sepon,Inferred
KRT14,,,,Monarch,,,Monarch,Inferred
KRT5,,,,Monarch,,,Monarch,Inferred
LAMA3,,,,Monarch,,,Monarch,Inferred
LAMB3,,,,Monarch,,,Monarch,Inferred
LAMC2,,,,Monarch,,,Monarch,Inferred
LAMP2,,,,,,IPA,IPA,Inferred
LAT,,,,,,IPA,IPA,Inferred
LCK,,,,,,IPA,IPA,Inferred
LCN2,,,,,Sepon,,Sepon,Inferred
LDHA,,,,,,IPA,IPA,Inferred
LDHB,,,,,,IPA,IPA,Inferred
LDLR,,,,,,IPA,IPA,Inferred
LDLRAP1,,,,,,IPA,IPA,Inferred
LEF1,,,,,,IPA,IPA,Inferred
LEP,,,,,Sepon,,Sepon,Inferred
LGALS1,,,,,,IPA,IPA,Inferred
LGALS3,,,,,Sepon,,Sepon,Inferred
LIG4,,,,Monarch,,,Monarch,Inferred
LILRA5,,,,,Sepon,,Sepon,Inferred
LIPN,,,,Monarch,,,Monarch,Inferred
LMO4,,,,,,IPA,IPA,Inferred
LMOD1,,,,Monarch,,,Monarch,Inferred
LOC109286556,,,,,Sepon,,Sepon,Inferred
LRBA,,,,Monarch,,,Monarch,Inferred
LRG1,,,,,Sepon,IPA,"Sepon,IPA",Inferred
LRRC8A,,,,Monarch,,,Monarch,Inferred
LRRK2,,,,,,IPA,IPA,Inferred
LRRN3,,,,,,IPA,IPA,Inferred
LTB4R,,,,,,IPA,IPA,Inferred
LTC4S,,,,,Sepon,,Sepon,Inferred
LTF,,,,,,IPA,IPA,Inferred
LY96,,,OpenTarget,,,,OpenTarget,Inferred
MALAT1,,,,,Sepon,,Sepon,Inferred
MAN1A1,,,,,,IPA,IPA,Inferred
MAN1C1,,,,,,IPA,IPA,Inferred
MAP2K7,,,,,,IPA,IPA,Inferred
MAP3K5,,,,,,IPA,IPA,Inferred
MAP3K8,,,,,,IPA,IPA,Inferred
MAP4K1,,,,,,IPA,IPA,Inferred
MAPK13,,,,,,IPA,IPA,Inferred
MAPK14,,,,,,IPA,IPA,Inferred
MAPKAPK2,,,,,,IPA,IPA,Inferred
MARCKS,,,,,,IPA,IPA,Inferred
MCEMP1,,,,,Sepon,,Sepon,Inferred
MDK,,,,,Sepon,,Sepon,Inferred
MEF2A,,,,,,IPA,IPA,Inferred
MEG3,,,,,Sepon,,Sepon,Inferred
MFGE8,,,,,Sepon,,Sepon,Inferred
MGAM,,,,,,IPA,IPA,Inferred
MGLL,,,,,,IPA,IPA,Inferred
MGST1,,,,,,IPA,IPA,Inferred
MICA,,,,,Sepon,,Sepon,Inferred
MIR1184-1,,,,,Sepon,,Sepon,Inferred
